case,s,center,applied_contact_force,loaded_end_pressure,coupling_slice_energy,peak_coupling_supplied_null,rest_heat_integral,maximum_abs_rest_heat_density,loaded_end_pressure_refinement_difference,density_ratio,sound_speed_squared
smooth_joint_refined,0.0,-1.7,1.4774421149879589,0.0516900711053912,21.602599816152527,0.20676028506744265,-0.4655909811173708,0.0036898583668433732,9.531892074254866e-09,3.0,0.3333333333333333
smooth_joint_refined,0.0,-1.3,2.424371346152999,0.06692089145608753,127.6856496129316,0.26768727553069394,-0.6050472946183546,0.0010286436435519976,7.867861973043233e-09,3.0,0.3333333333333333
smooth_joint_refined,0.0,-0.9,-0.1404583716936468,0.002075875694104145,9.05505696900946,0.008565122093898066,-0.021984326274091304,1.4365183725806372e-05,1.1684616546894788e-09,3.0,0.3333333333333333
smooth_joint_refined,0.5,-1.7,1.7704155565420834,0.0518223220190581,14.536895818187872,0.20728928807623248,-1.7245637020819453,0.020030162375881823,8.011679972219632e-09,3.0,0.3333333333333333
smooth_joint_refined,0.5,-1.3,2.598907269295173,0.0640959503029261,66.53319083011274,0.2563838012195848,-2.2639031325831285,0.006996637326816268,6.322385365242766e-09,3.0,0.3333333333333333
smooth_joint_refined,0.5,-0.9,-0.14447335838338618,0.0021816882102525877,4.41918602809624,0.00872935647339693,-0.08230196535376146,0.00012205561488386345,5.1362683160458e-10,3.0,0.3333333333333333
smooth_joint_refined,1.285,-1.7,4.0734697365571675,0.06858686033438771,4.848840013113034,0.27434744133755085,-4.313515484207986,0.18739442634476175,4.418529236938085e-09,3.0,0.3333333333333333
smooth_joint_refined,1.285,-1.3,3.7844936681473627,0.06573108395459333,8.57730059364221,0.2629243358183733,-5.059767179016158,0.1194604100491356,2.594525705390538e-09,3.0,0.3333333333333333
smooth_joint_refined,1.285,-0.9,1.24139975092121,0.020227315923437485,3.2602009330454047,0.08090926369374998,-1.5423714428161632,0.02872780561535858,2.3093808115826064e-09,3.0,0.3333333333333333
smooth_reset,0.0,-1.7,-6.780788525770787,0.027071077405454322,35.92208137439844,0.16087360726837296,-0.6410728585346197,0.0021396026813357057,3.2316603143511813e-09,3.0,0.3333333333333333
smooth_reset,0.0,-1.3,24.70443373036748,0.6819263603232242,1301.1214945214595,2.7277432433378173,-6.165454321738206,0.010481916792416321,8.017380503932969e-08,3.0,0.3333333333333333
smooth_reset,0.0,-0.9,10.22314691432393,0.17476140474143495,702.0458597482537,0.7046830026948923,-1.9787626445262894,0.001469013013112367,4.3514599701310885e-09,3.0,0.3333333333333333
smooth_reset,0.5,-1.7,-6.49897335691367,0.0298461852920861,22.541460432165835,0.16526429238272636,-2.295320329633883,0.012512674711862177,3.122653090964489e-09,3.0,0.3333333333333333
smooth_reset,0.5,-1.3,24.813252879481617,0.6119606660104175,635.2303941164171,2.447842664116909,-21.614776943800077,0.06680089487894471,6.036342525828076e-08,3.0,0.3333333333333333
smooth_reset,0.5,-0.9,10.268086074956443,0.16971051776249654,326.3435236858228,0.6788422939205593,-6.097764933913584,0.009569712322678637,4.054645533213552e-08,3.0,0.3333333333333333
smooth_reset,1.285,-1.7,-4.173254492198421,0.029935820195713076,3.367478523637947,0.13505417595052513,-2.8731341402227404,0.08579125698487874,1.6462825234986322e-09,3.0,0.3333333333333333
smooth_reset,1.285,-1.3,25.639101733363514,0.4453134544101592,58.10930121748289,1.7812538176406367,-34.278795745332864,0.8093176723052838,1.7577333866203304e-08,3.0,0.3333333333333333
smooth_reset,1.285,-0.9,10.52715892423225,0.17152908978648154,27.646737742319345,0.6861163591459265,-13.07942045797436,0.2436138520512123,1.9583714816473474e-08,3.0,0.3333333333333333
smooth_reset,3.0,-1.7,12.682105704233011,0.1683464224730821,1.9325899820109473,0.6733856898923284,-0.05824957023056887,0.014999512210520136,1.372219810003017e-09,3.0,0.3333333333333333
smooth_reset,3.0,-1.3,4.6286684988795574,0.07682917132778184,0.7049229159396916,0.3073166853111274,-0.02629613837493238,0.008521185896745203,6.261524632122928e-10,3.0,0.3333333333333333
smooth_reset,3.0,-0.9,2.2350154463118255,0.0454774731786099,0.3396291416080271,0.1819098927144396,-0.014287510486724865,0.005710109269497251,3.7053085599758617e-10,3.0,0.3333333333333333
