family,outer_radius,relative_quadrature_change
DEC,1.05,2.220446049250313e-16
DEC_radial_causal,1.05,2.220446049250313e-16
weak_DEC_radial_causal,1.05,1.1102230246251565e-16
compressive_radial_half_slope,1.05,3.3306690738754696e-16
DEC,1.2,2.220446049250313e-16
DEC_radial_causal,1.2,2.220446049250313e-16
weak_DEC_radial_causal,1.2,2.220446049250313e-16
compressive_radial_half_slope,1.2,2.220446049250313e-16
DEC,1.5,1.1102230246251565e-15
DEC_radial_causal,1.5,1.1102230246251565e-15
weak_DEC_radial_causal,1.5,1.1102230246251565e-15
compressive_radial_half_slope,1.5,1.3322676295501878e-15
DEC,2.0,2.886579864025407e-15
DEC_radial_causal,2.0,2.886579864025407e-15
weak_DEC_radial_causal,2.0,3.1086244689504383e-15
compressive_radial_half_slope,2.0,4.6629367034256575e-15
DEC,4.0,5.240252676230739e-14
DEC_radial_causal,4.0,5.240252676230739e-14
weak_DEC_radial_causal,4.0,1.3322676295501878e-14
compressive_radial_half_slope,4.0,4.3520742565306136e-14
DEC,10.0,2.318145675417327e-13
DEC_radial_causal,10.0,2.318145675417327e-13
weak_DEC_radial_causal,10.0,4.551914400963142e-14
compressive_radial_half_slope,10.0,2.2026824808563106e-13
DEC,30.0,3.668176873361517e-13
DEC_radial_causal,30.0,3.668176873361517e-13
weak_DEC_radial_causal,30.0,1.4099832412739488e-13
compressive_radial_half_slope,30.0,5.775380174100064e-13
