family,outer_radius,charge,inner_rest_mass,outer_fraction,outer_rest_mass,gap_mass,ADM_mass,proper_field_energy,field_to_wall_rest_energy,inner_pressure_ratio,outer_pressure_ratio,inner_sound_squared,outer_sound_squared,inner_Vpp,outer_Vpp,compactness_measure,minimum_gap_f,matched_Killing_field_energy
DEC,1.05,0.01,2.6108706285752873e-05,2.518793863454543e-05,2.644661796934805e-05,7.610836545348092e-05,5.4934885167469195e-05,2.3810158106801616e-06,0.045304939973785145,-0.9575534704977171,0.9003304403662011,1.0,1.0,11.82991349989296,3.989384711972292,0.00015221673090696185,0.9999457346326963,2.3808924096699203e-06
DEC_radial_causal,1.05,0.01,2.6108706285752873e-05,2.518793863454543e-05,2.644661796934805e-05,7.610836545348092e-05,5.4934885167469195e-05,2.3810158106801616e-06,0.045304939973785145,-0.9575534704977171,0.9003304403662011,1.0,1.0,11.82991349989296,3.989384711972292,0.00015221673090696185,0.9999457346326963,2.3808924096699203e-06
weak_DEC_radial_causal,1.05,0.01,2.6108706285752873e-05,2.518793863454543e-05,2.644661796934805e-05,7.610836545348092e-05,5.4934885167469195e-05,2.3810158106801616e-06,0.045304939973785145,-0.9575534704977171,0.9003304403662011,1.0,1.0,11.82991349989296,3.989384711972292,0.00015221673090696185,0.9999457346326963,2.3808924096699203e-06
compressive_radial_half_slope,1.05,0.01,0.010512204632623767,5.2635573961486296e-05,5.471405003524823e-05,0.010506951409504688,0.01051349722308416,2.4056385938990874e-06,0.0002276575287597219,0.0002525175709245678,0.444658828167842,0.5,0.5,3.95593103553957,0.3612955022261719,0.021013902819009375,0.9790860971809906,2.380827058157237e-06
DEC,1.05,0.010893621600274041,3.318804656410308e-05,3.0284074833506474e-05,3.179718793622312e-05,9.25229916258643e-05,6.780861151714677e-05,2.8255952077342566e-06,0.04348057261715465,-0.8939500886770101,0.8886557289741049,1.0,1.0,11.575441347189592,4.031641717984456,0.0001850459832517286,0.9999314038178283,2.8254142316373336e-06
DEC_radial_causal,1.05,0.010893621600274041,3.318804656410308e-05,3.0284074833506474e-05,3.179718793622312e-05,9.25229916258643e-05,6.780861151714677e-05,2.8255952077342566e-06,0.04348057261715465,-0.8939500886770101,0.8886557289741049,1.0,1.0,11.575441347189592,4.031641717984456,0.0001850459832517286,0.9999314038178283,2.8254142316373336e-06
weak_DEC_radial_causal,1.05,0.010893621600274041,3.318804656410308e-05,3.0284074833506474e-05,3.179718793622312e-05,9.25229916258643e-05,6.780861151714677e-05,2.8255952077342566e-06,0.04348057261715465,-0.8939500886770101,0.8886557289741049,1.0,1.0,11.575441347189592,4.031641717984456,0.0001850459832517286,0.9999314038178283,2.8254142316373336e-06
compressive_radial_half_slope,1.05,0.010893621600274041,0.011852009077450258,6.328503828288712e-05,6.56992685704548e-05,0.011841109513649254,0.011849555174771681,2.858572312050561e-06,0.00023985922704720575,0.00046533439540986737,0.44073201887651925,0.5,0.5,3.9488692679957618,0.38433996269680115,0.023682219027298508,0.9764364519642714,2.8253209874217316e-06
DEC,1.05,0.01186709915699571,3.741793875662179e-05,3.641128406052159e-05,3.823036373621252e-05,0.00010783125990653555,7.899847061939952e-05,3.3531765535826006e-06,0.04432586645153373,-0.9409384684162739,0.877126853028926,1.0,1.0,11.76333033376023,4.073407583789923,0.0002156625198130711,0.9999223423098397,3.352926539812211e-06
DEC_radial_causal,1.05,0.01186709915699571,3.741793875662179e-05,3.641128406052159e-05,3.823036373621252e-05,0.00010783125990653555,7.899847061939952e-05,3.3531765535826006e-06,0.04432586645153373,-0.9409384684162739,0.877126853028926,1.0,1.0,11.76333033376023,4.073407583789923,0.0002156625198130711,0.9999223423098397,3.352926539812211e-06
weak_DEC_radial_causal,1.05,0.01186709915699571,3.741793875662179e-05,3.641128406052159e-05,3.823036373621252e-05,0.00010783125990653555,7.899847061939952e-05,3.3531765535826006e-06,0.04432586645153373,-0.9409384684162739,0.877126853028926,1.0,1.0,11.76333033376023,4.073407583789923,0.0002156625198130711,0.9999223423098397,3.352926539812211e-06
compressive_radial_half_slope,1.05,0.01186709915699571,0.013362574653087118,7.608914977153958e-05,7.887692955114883e-05,0.01334370947360844,0.013354518727851282,3.3973638831343685e-06,0.0002527527523532201,0.0007154564708695517,0.43708381333556323,0.5,0.5,3.9408259949006204,0.4046544249014019,0.02668741894721688,0.9734534090951852,3.352793497999002e-06
DEC,1.05,0.012927568770924235,4.2186940351851784e-05,4.377817761396963e-05,4.5965065424252405e-05,0.00012574706764637142,9.212718489182485e-05,3.979267597404601e-06,0.04514097623043855,-0.9903971690338434,0.8657493136155303,1.0,1.0,11.961087263100232,4.1146150724700234,0.00025149413529274283,0.9999120663875462,3.978921857830327e-06
DEC_radial_causal,1.05,0.012927568770924235,4.2186940351851784e-05,4.377817761396963e-05,4.5965065424252405e-05,0.00012574706764637142,9.212718489182485e-05,3.979267597404601e-06,0.04514097623043855,-0.9903971690338434,0.8657493136155303,1.0,1.0,11.961087263100232,4.1146150724700234,0.00025149413529274283,0.9999120663875462,3.978921857830327e-06
weak_DEC_radial_causal,1.05,0.012927568770924235,4.2186940351851784e-05,4.377817761396963e-05,4.5965065424252405e-05,0.00012574706764637142,9.212718489182485e-05,3.979267597404601e-06,0.04514097623043855,-0.9903971690338434,0.8657493136155303,1.0,1.0,11.961087263100232,4.1146150724700234,0.00025149413529274283,0.9999120663875462,3.978921857830327e-06
compressive_radial_half_slope,1.05,0.012927568770924235,0.013362574653087118,9.148384626198977e-05,9.483560408150697e-05,0.013356856469570941,0.013370898991992806,4.031686661419983e-06,0.0002995885972393793,0.00021686045462213676,0.43149669303670507,0.5,0.5,3.944814812723325,0.4446872439464098,0.026713712939141883,0.9734534090951851,3.9787320323923896e-06
DEC,1.05,0.014082804240196839,5.362587197812673e-05,5.2635573961486296e-05,5.526428147445677e-05,0.00015278712174490708,0.00011360622296277553,4.722290747855168e-06,0.04336747261460607,-0.9246149666425146,0.8545341279546192,1.0,1.0,11.697862429155252,4.15513892218987,0.00030557424348981417,0.9998888638726561,4.721784197565427e-06
DEC_radial_causal,1.05,0.014082804240196839,5.362587197812673e-05,5.2635573961486296e-05,5.526428147445677e-05,0.00015278712174490708,0.00011360622296277553,4.722290747855168e-06,0.04336747261460607,-0.9246149666425146,0.8545341279546192,1.0,1.0,11.697862429155252,4.15513892218987,0.00030557424348981417,0.9998888638726561,4.721784197565427e-06
