time,steps,min_f,min_alpha,max_particle_speed,max_entropy_speed,max_relative_drift,min_rest_energy,min_entropy_creation,max_entropy_creation,particle_number,entropy,created_entropy,escaped_particles,escaped_entropy,particle_balance_relative_error,entropy_balance_relative_error,outer_mass_balance_error,max_current,max_mass_change,min_radial_discriminant,scenario,level,cells
0.0,0,7.776978708573523e-06,0.002933222195912,0.03998795365494995,0.03599318883923067,0.07587194046798551,1.6725747231862702e-13,1.8399977740535928e-28,2.692550311620468e-07,0.0461582126172757,0.1328627057434748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.795377357337534e-25,low_preload_slow_drag,0,128
0.05,4,7.776978708573523e-06,0.0029332136593397465,0.4929886111544552,0.6293355602970989,0.20327703192686303,1.3855108527557374e-12,1.450801768077035e-20,2.491682698466349e-07,0.046158208872504915,0.1328654230416706,2.7959289881428075e-06,9.031791443499612e-10,1.4232216330311282e-08,-6.156199474414684e-08,-4.847001697993811e-07,-3.586378416464697e-11,5.753184905664899e-07,1.5217615402796092e-06,1.2319975274413454e-23,low_preload_slow_drag,0,128
0.1,9,7.776978708573523e-06,0.0029331876036414323,0.6232319007258074,0.7445924517684352,0.22644165406676967,1.3855623906146104e-12,5.801059730339989e-20,2.306766426501093e-07,0.04615819921567063,0.1328678075653677,5.3280490476917585e-06,7.874076473256385e-09,1.116232609429749e-07,-1.1975179022623994e-07,-8.625738367744632e-07,-6.805356278505315e-10,1.15114441543882e-06,6.07816047815124e-06,1.232102252303999e-23,low_preload_slow_drag,0,128
0.15000000000000002,14,7.776978708573523e-06,0.0029331440034055696,0.6776106996785124,0.7865892062237031,0.23433056053311221,1.385613930705563e-12,1.304966709412405e-19,2.1385336436457116e-07,0.04615817210650342,0.13286981035342954,7.68639904660357e-06,3.312218045478816e-08,4.329093127588781e-07,-1.600710123453628e-07,-1.1205535690278608e-06,-1.9474634960214843e-09,1.7276668015573199e-06,1.3641355086912998e-05,1.2322069779117088e-23,low_preload_slow_drag,0,128
0.2,19,7.776978708573523e-06,0.002933082807534916,0.7086618706212595,0.8098263761913409,0.23741577417987986,1.3856654727197814e-12,2.3195447859991316e-19,2.0063210488450992e-07,0.046158107128913675,0.1328712942095305,9.947733651943045e-06,9.755760206029987e-08,1.1932928232768082e-06,-1.7181687755485146e-07,-1.2492201783815718e-06,-3.838933670952116e-09,2.3069083783141734e-06,2.41687724811257e-05,1.2323129221894735e-23,low_preload_slow_drag,0,128
0.25,24,7.776978708573523e-06,0.0029330039336309855,0.7295299042636688,0.8243660555939092,0.2379229239405082,1.3857170163471984e-12,3.6237156640510796e-19,1.8691835098091855e-07,0.046157973342543096,0.1328720271880462,1.217625972056179e-05,2.3264051971657275e-07,2.690806648348913e-06,-1.4372768162380613e-07,-1.2344209001230963e-06,-6.381269818112045e-09,2.8891008732957035e-06,3.760364568222707e-05,1.2324188673159097e-23,low_preload_slow_drag,0,128
0.30000000000000004,29,7.776978708573523e-06,0.002932907263301362,0.7432746076508148,0.8333497620761993,0.2366709955867663,1.3857685612759145e-12,5.217347819609539e-19,1.7479269564867197e-07,0.046157728488389844,0.1328716899161065,1.4424845254251294e-05,4.811502853267254e-07,5.298891598984716e-06,-6.453023973537291e-08,-1.0671243128593554e-06,-9.634052944296201e-09,3.474411130511394e-06,5.387582667221169e-05,1.2325248132908997e-23,low_preload_slow_drag,0,128
0.35000000000000003,34,7.776978708573523e-06,0.00293279263816944,0.7523797356016431,0.8388883514341976,0.234544042731091,1.3858201071915336e-12,7.100302674385984e-19,1.657181869352402e-07,0.04615731884014357,0.13286988485524176,1.673642449851804e-05,8.973797292244763e-07,9.459490256799618e-06,7.804888645739711e-08,-7.362673687922586e-07,-1.3697841527715582e-08,4.063088501035912e-06,7.290271563931139e-05,1.2326295420320365e-23,low_preload_slow_drag,0,128
0.4,39,7.776978708573523e-06,0.002932659856942647,0.7583055440349026,0.8417740189365219,0.23078111764071216,1.38587165377643e-12,9.272434501341989e-19,1.5844378276866283e-07,0.04615667847359826,0.1328661431313884,1.9145378486972954e-05,1.5478715119856104e-06,1.5677069796707912e-05,2.9740827827448623e-07,-2.327272841470463e-07,-1.8658187578290963e-08,4.659768125647411e-06,9.459022217384039e-05,1.2327367077865238e-23,low_preload_slow_drag,0,128
0.45,44,7.776978708573523e-06,0.002932508672738355,0.761325151125717,0.8430315865208571,0.22811630390186136,1.3859232007089748e-12,1.1733590303798782e-18,1.530081947928475e-07,0.046155730319303395,0.1328599395431935,2.1678814269022765e-05,2.5103798322744482e-06,2.4505472123263353e-05,6.083827422472781e-07,4.550379476119947e-07,-2.458735276489321e-08,5.268720476228061e-06,0.000118833841922239,1.23284143812028e-23,low_preload_slow_drag,0,128
