scenario,level,cells,preload_fraction,relaxation_scale,initial_particle_drift,status,steps,final_time,initial_preloaded_coordinate_mass,initial_total_mass_change,gr_tensor_kinetic_ratio,min_resistance_coefficient,max_resistance_coefficient,max_resistance_time_variation_factor,ordinary_sound_speeds,min_source_radial_discriminant,min_f,min_alpha,max_particle_speed,max_entropy_speed,max_relative_drift,min_rest_energy,created_entropy,particle_balance_relative_error,entropy_balance_relative_error,outer_mass_balance_error,max_current,max_mass_change,initial_junction_pass,full_rail_candidate_pass
low_preload_slow_drag,0,128,0.01,2.0,0.04,duration_completed,399,4.0,0.007686431592632115,0.0,1.0,5.2818149153250633e-14,3.7394677749624634e-06,2878897.1646229993,"sqrt(1/5),sqrt(1/3)",1.795377357337534e-25,7.776978708573523e-06,0.002828883732365029,0.9544268959918545,0.9545086904330977,0.1202623514437032,1.3895491249901495e-12,0.0003271924261292297,0.005927065220286758,0.006786048475993595,-1.5774831016668323e-05,0.00018486105019560676,0.0028347087599851495,False,False
low_preload_slow_drag,1,256,0.01,2.0,0.04,duration_completed,799,4.0,0.007686401904190171,0.0,1.0,1.8407210732124888e-14,3.739479031482608e-06,8262549.111747936,"sqrt(1/5),sqrt(1/3)",2.1805465125950013e-26,7.776978708573523e-06,0.0027359526517687616,0.9580537449784884,0.958112621013937,0.12019860710362298,4.88287879046421e-13,0.0003271749759517925,0.001820930227814256,0.0019727137240272102,-5.995605129788251e-06,0.0002098688793195621,0.0028249793126679523,False,False
low_preload_slow_drag,2,512,0.01,2.0,0.04,duration_completed,1557,4.0,0.007686394482079686,0.0,1.0,1.6243976297300205e-14,3.7395417353627595e-06,9363440.085343085,"sqrt(1/5),sqrt(1/3)",1.6981417068201008e-26,7.776978708573523e-06,0.002687486982404734,0.9590797804880893,0.9593549869903049,0.1201834384793723,4.3257355022904484e-13,0.00032722081716989455,0.00046114680237016906,0.0004891155019679409,-1.7422209961370783e-06,0.0002122202726615091,0.0028207640569573034,False,False
low_preload_fast_drag,0,128,0.01,0.25,0.04,duration_completed,399,4.0,0.007686431592632115,0.0,1.0,4.2254519322600507e-13,2.9915742199699707e-05,2927190.326387195,"sqrt(1/5),sqrt(1/3)",1.795377357337534e-25,7.776978708573523e-06,0.0028288022442842014,0.9553047840170477,0.9538964083280049,0.026599549894157175,1.3895491479252854e-12,0.00029456601160234995,0.006166849564449414,0.006509446064928664,-1.579732780923604e-05,0.00018488678434704444,0.0028485926407557094,False,False
low_preload_fast_drag,1,256,0.01,0.25,0.04,duration_completed,799,4.0,0.007686401904190171,0.0,1.0,1.472576858569991e-13,2.9915832251860863e-05,8400214.44466546,"sqrt(1/5),sqrt(1/3)",2.1805465125950013e-26,7.776978708573523e-06,0.0027358754371086653,0.959045694310108,0.9572823731498473,0.03327689233571277,4.882878847707023e-13,0.00029489212338908735,0.0018641229485055798,0.0019111126421679102,-5.9409992727021965e-06,0.00020924524346149325,0.002838717792853218,False,False
low_preload_fast_drag,2,512,0.01,0.25,0.04,duration_completed,1536,4.0,0.007686394482079686,0.0,1.0,1.2995181037840164e-13,2.9916333882902076e-05,9519104.282691456,"sqrt(1/5),sqrt(1/3)",1.6981417068201008e-26,7.776978708573523e-06,0.0026874092169948617,0.960103599038843,0.9584822305553409,0.044038154807002426,4.3257355129447407e-13,0.00029511285696190307,0.0004667543437265933,0.0004798853575765408,-1.7323319774775747e-06,0.00021153553459361438,0.0028345808111961412,False,False
high_preload_slow_drag,0,128,0.1,2.0,0.04,duration_completed,399,4.0,0.07686431592632116,0.0,1.0,5.281814915325062e-13,3.739467774962463e-05,2804523.876694396,"sqrt(1/5),sqrt(1/3)",1.7953772999129108e-23,7.776978708573523e-06,0.0012057016738991132,0.9549621875983204,0.9553899374870228,0.12065606941110789,1.387634177862595e-11,0.0018384685505267438,0.004898652438921042,0.005648275271972985,-0.00011520447116525334,0.0018316009965888029,0.02798606434060824,False,False
high_preload_slow_drag,1,256,0.1,2.0,0.04,duration_completed,799,4.0,0.07686401904190171,0.0,1.0,1.8407210732124882e-13,3.739479031482609e-05,8049198.727594116,"sqrt(1/5),sqrt(1/3)",2.180546472569852e-24,7.776978708573523e-06,0.001169041407549138,0.9571711470961615,0.9578348794335264,0.12059388424654958,4.880011157818998e-12,0.001838166722431609,0.0013775964001492584,0.0015266547885036392,-4.543139591448031e-05,0.001949717196408423,0.028075030313292615,False,False
high_preload_slow_drag,2,512,0.1,2.0,0.04,duration_completed,1557,4.0,0.07686394482079685,0.0,1.0,1.6243976297300206e-13,3.739541735362759e-05,9121689.752200432,"sqrt(1/5),sqrt(1/3)",1.6981422366403333e-24,7.776978708573523e-06,0.0011491739408092932,0.9579780867832228,0.9588388656144741,0.12057895136535715,4.325479458764473e-12,0.0018382385008590958,0.0003356716901302573,0.000364074470692934,-1.3064552357805459e-05,0.0019845681178147488,0.0281103660612414,False,False
zero_initial_drift,0,128,0.01,2.0,0.0,duration_completed,399,4.0,0.007686431592632115,0.0,1.0,5.2818149153250633e-14,3.7456514667313023e-06,2863548.725060037,"sqrt(1/5),sqrt(1/3)",1.795377357337534e-25,7.776978708573523e-06,0.00282892576995576,0.9549443215220281,0.9539557486940977,0.11493583810864731,1.3895491927255051e-12,0.00031319566950827754,0.006173040349743286,0.006491244209411162,-1.578831058512975e-05,0.00018451122357087774,0.0028280442418573415,False,False
zero_initial_drift,1,256,0.01,2.0,0.0,duration_completed,799,4.0,0.007686401904190171,0.0,1.0,1.8407210732124888e-14,3.7456130759014335e-06,8218561.486876814,"sqrt(1/5),sqrt(1/3)",2.1805465125950013e-26,7.776978708573523e-06,0.0027359910564358414,0.9587427506385857,0.9573139710525241,0.1148550988522889,4.882878890359386e-13,0.0003133093254983054,0.00189847078129569,0.0018818942116661775,-5.929929360048991e-06,0.00020865905464648908,0.0028181672695531956,False,False
zero_initial_drift,2,512,0.01,2.0,0.0,duration_completed,1558,4.0,0.007686394482079686,0.0,1.0,1.6243976297300205e-14,3.7457009043625596e-06,9313603.015795758,"sqrt(1/5),sqrt(1/3)",1.6981417068201008e-26,7.776978708573523e-06,0.0026875223864472656,0.9597569029046646,0.9585422551895755,0.11483527845340823,4.3257355111005046e-13,0.00031339556192994626,0.00047858769510313845,0.000470291822876642,-1.7273563565345373e-06,0.00021087446061289836,0.0028140400931556675,False,False
