radius,f,alpha,energy,radial_pressure,angular_pressure,radial_enthalpy
2.15,7.776978708486199e-06,76.08339315793839,0.00860616542230816,-0.008607509524316317,3.30587935799997e-06,-1.3441020081574745e-06
2.152001953125,7.927661568350858e-06,76.1089827118476,0.008590152812346194,-0.008591495690207602,3.290162663347771e-06,-1.3428778614082287e-06
2.15400390625,8.078918925401383e-06,76.13680053927212,0.008574184750487972,-0.00857552647922724,3.270638343278538e-06,-1.3417287392670368e-06
2.156005859375,8.230760678710323e-06,76.16676143541926,0.008558261029553291,-0.008559601734290738,3.247296528851036e-06,-1.3407047374461994e-06
2.1580078124999997,8.3832013016727e-06,76.19878024359018,0.008542381442236041,-0.008543721299028388,3.220130347222181e-06,-1.339856792346647e-06
2.160009765625,8.536258133912463e-06,76.23277001038511,0.008526545831580057,-0.008527885029059067,3.176885703466898e-06,-1.339197479010082e-06
2.16201171875,8.68994577658242e-06,76.26863649309728,0.008510754045242491,-0.008512092781591518,3.1291544494513304e-06,-1.3387363490269255e-06
2.164013671875,8.844280043008101e-06,76.30628233849335,0.008495005914359581,-0.008496344411699986,3.0682231679204957e-06,-1.3384973404050038e-06
2.166015625,8.999276223283062e-06,76.3456051264707,0.00847930127293531,-0.008480639775778382,3.0023185466136887e-06,-1.3385028430727697e-06
2.1680175781249997,9.154951136823311e-06,76.38649977566175,0.008463639957420529,-0.008464978731897934,2.921986622212654e-06,-1.3387744774058519e-06
2.17001953125,9.311320624728652e-06,76.42885583380608,0.008448021807204498,-0.00844936113948888,2.8361497261139365e-06,-1.3393322843818084e-06
2.172021484375,9.468401847247259e-06,76.47256018296275,0.008432446659212549,-0.008433786858494143,2.7359066587489704e-06,-1.3401992815936792e-06
2.1740234375,9.626211256346713e-06,76.51749474436858,0.008416914352946857,-0.00841825575016819,2.629646320481444e-06,-1.341397221332405e-06
2.176025390625,9.78476657566434e-06,76.56353891106217,0.008401424727100412,-0.008402767676492204,2.5087674151245415e-06,-1.3429493917922752e-06
2.1780273437499997,9.944084875030884e-06,76.61056736977396,0.008385977622745277,-0.008387322500732847,2.3813649962935997e-06,-1.344877987570145e-06
