regulator,required_opening_balance,geometric_integral,signed_quantum_balance,maximum_quantum_opening_balance,fraction_of_required_balance,required_weight_amplification_at_frozen_quantum_source
4.0,2.176589793701831,2.1765897936910705,-1.7913698009140423e-05,1.1705217751961287e-05,5.377778479818037e-06,185950.38894830714
8.0,2.176589793701831,2.1765897936910705,-2.109247591161054e-05,1.0695642559257176e-05,4.91394501169032e-06,203502.4807198678
