regulator,proper,coordinate,radius,lapse,rho,pr,pt,polarization,radial_enthalpy,radial_enthalpy_tail,required_radial_enthalpy
4.0,-211.61427245312336,-39.99889981537173,39.10129486621097,0.9536338587844886,2.0129154634978786e-07,6.116848006868356e-09,-6.166259121168486e-08,6.302625573768083e-10,2.0740839435665622e-07,-1.4955325066742898e-07,1.4221293990305004e-09
4.0,-206.53179530322413,-35.000011201574104,34.270704265553334,0.9469154971846514,1.7122056148779663e-07,8.931890756660304e-09,-4.1154376006011327e-08,-2.629559347644394e-10,1.8015245224445692e-07,-2.996806309997243e-07,2.308628226325604e-09
4.0,-201.40681834439803,-30.00056819452489,29.439558372548056,0.9379167151244028,1.203775221902942e-07,8.67847293650641e-09,-1.6888229337674524e-08,-1.6921598791842756e-09,1.290559951268006e-07,-4.850278541839382e-07,4.7985909924568366e-09
4.0,-196.2218416553223,-24.999918036132147,24.607219351581048,0.9252369737941496,1.4049569467968248e-08,-1.783446956149194e-09,5.4737559121646675e-08,-1.9310463564005822e-08,1.2266122511819054e-08,-6.73392870774729e-07,2.6592791279461122e-08
4.0,-190.94936535963245,-19.999685473202437,19.775245139206323,0.9060840967817747,-1.2218907674676117e-06,-2.3538325937645993e-07,1.3758855662950878e-06,-3.684591393743617e-07,-1.4572740268440717e-06,-8.090194464034228e-07,4.51811118005636e-07
4.0,-190.6818665622693,-19.74896642399511,19.532961230924652,0.9048670429970542,-1.4407871326810991e-06,-2.806133423370548e-07,1.6167141352395945e-06,-4.2094182530118703e-07,-1.721400475018154e-06,-8.133412420090231e-07,5.28537054299925e-07
4.0,-190.4168677536666,-19.50091751509527,19.293257401011907,0.9036326507339585,-1.6953615371102145e-06,-3.337722728826833e-07,1.89745956397934e-06,-4.775633589927626e-07,-2.029133809992898e-06,-8.170397169761439e-07,6.178632693490101e-07
4.0,-190.14936895630348,-19.25086523894244,19.05161735061286,0.9023568002597101,-1.997390477290143e-06,-3.9772436405213476e-07,2.2310893851901797e-06,-5.384679584672719e-07,-2.3951148413422776e-06,-8.20737306224169e-07,7.238998185436182e-07
4.0,-189.8818701589404,-19.00115794827196,18.81031040051599,0.9010501619619912,-2.350297959255569e-06,-4.737290445839314e-07,2.6219109874121844e-06,-6.013337306188323e-07,-2.8240270038395005e-06,-8.238852296295094e-07,8.487684514373594e-07
4.0,-189.61187137281684,-18.749473561744193,18.567092551436616,0.8996992442492664,-2.767152356980464e-06,-5.651917699603647e-07,3.0844850976925074e-06,-6.635848331914694e-07,-3.3323441269408287e-06,-8.268422148395194e-07,9.974064306400511e-07
4.0,-189.34437257545375,-18.500479526930945,18.326474204545352,0.8983282377268242,-3.251471874108078e-06,-6.731289394626795e-07,3.622981558387062e-06,-7.189228788513657e-07,-3.924600813570758e-06,-8.293388079408714e-07,1.1711962536170628e-06
4.0,-189.07437378933022,-18.249528304757373,18.08396411233819,0.8969107026016193,-3.822817155044978e-06,-8.028273040686786e-07,4.259764144438121e-06,-7.602391666794376e-07,-4.625644459113656e-06,-8.314712540577725e-07,1.3783812623875834e-06
4.0,-188.8043750032067,-17.99895502055958,17.84181879804997,0.8954585139597291,-4.4850606915853255e-06,-9.575018544658024e-07,5.000045349117656e-06,-7.744482799053055e-07,-5.442562546051128e-06,-8.332702196060834e-07,1.62348476408646e-06
4.0,-188.53687620584358,-17.751080523239395,17.602280995791116,0.8939848782058765,-5.246818509602057e-06,-1.1399062496380936e-06,5.8539752251099885e-06,-7.432368497303114e-07,-6.386724759240151e-06,-8.34592643530769e-07,1.9107945792803e-06
4.0,-188.26437743095966,-17.49896608096048,17.358645262000024,0.8924473202087034,-6.143081850538112e-06,-1.3612704766193272e-06,6.862220164283863e-06,-6.368306425647477e-07,-7.504352327157439e-06,-8.355917363808347e-07,2.2577247704939666e-06
4.0,-187.99437864483613,-17.249561136548454,17.11762723199998,0.8908870891939383,-7.1523461512759865e-06,-1.6225865856571047e-06,8.00347339602682e-06,-4.1585317840905095e-07,-8.774932736933091e-06,-8.36024140151389e-07,2.6659352248751477e-06
4.0,-187.7243798587126,-17.00055526300874,16.876994078752563,0.8892898057551002,-8.290898308872723e-06,-1.9335624580378903e-06,9.29903798714746e-06,-1.968011159210458e-08,-1.0224460766910612e-05,-8.361682291888477e-07,3.1509136363433085e-06
4.0,-187.45188108382868,-16.74965192161304,16.63452634671917,0.8876398783938939,-9.563572803394363e-06,-2.3068416382834724e-06,1.0759436307498575e-05,6.462352473462708e-07,-1.1870414441677835e-05,-8.35269004136448e-07,3.7336947934666067e-06
4.0,-187.17938230894475,-16.499160968405203,16.392456066902426,0.885951844442554,-1.092196696658929e-05,-2.7515826189158945e-06,1.2339794140118174e-05,1.7078219574685838e-06,-1.3673549585505183e-05,-8.345268014934422e-07,4.429153502426888e-06
4.0,-186.90688353406085,-16.249083304174512,16.150783924895705,0.8842258927151032,-1.2301814967567932e-05,-3.280398168326001e-06,1.398056208226609e-05,3.349589447315629e-06,-1.5582213135893934e-05,-8.329712484735523e-07,5.260433232867833e-06
4.0,-186.63438475917692,-15.999417998437096,15.909508797921976,0.8824625484581341,-1.3571374182512648e-05,-3.909025706050258e-06,1.5554595503451035e-05,5.834008948583277e-06,-1.7480399888562905e-05,-8.30688855477668e-07,6.255817884706224e-06
4.0,-186.361885984293,-15.750161855651545,15.66862732701857,0.8806627582104215,-1.4483264546196364e-05,-4.655639228146007e-06,1.68175709405365e-05,9.530695585288245e-06,-1.913890377434237e-05,-8.276490204703912e-07,7.449946841435704e-06
4.0,-186.08688722064866,-15.49902767260169,15.42592879751874,0.878811005762492,-1.461807753056926e-05,-5.549657825811483e-06,1.7353944854225487e-05,1.501321505505605e-05,-2.0167735356380743e-05,-8.236622660525378e-07,8.89972747420393e-06
4.0,-185.81438844576473,-15.250572010298432,15.18581631290203,0.8769431062963198,-1.3219846458535351e-05,-6.59683326823457e-06,1.6393817810691282e-05,2.2888351060479628e-05,-1.981667972676992e-05,-8.188350667778874e-07,1.0631271609384201e-05
4.0,-185.53938968212043,-15.000222088976228,14.943870155759972,0.875027795209605,-9.04472960798004e-06,-7.832872249374283e-06,1.2682165677515181e-05,3.424866137061676e-05,-1.6877601857354323e-05,-8.126648775911293e-07,1.2741216849657651e-05
4.0,-185.2643909184761,-14.750239709472515,14.702275565683848,0.8730861392647562,-2.802433103930979e-08,-9.242644248273423e-06,4.1076620361942285e-06,5.02413265681098e-05,-9.270668579312733e-06,-8.048245541438135e-07,1.5294281024774008e-05
4.0,-184.98939215483176,-14.500598892978065,14.461006723207433,0.871123521676823,1.7489435174129013e-05,-1.0745692597140338e-05,-1.3074097459712584e-05,7.227228687340772e-05,6.743742576988675e-06,-7.947915773320811e-07,1.8385067775778057e-05
4.0,-184.71189340242705,-14.249000290711813,14.217840478989778,0.8691289353923598,4.928651167894459e-05,-1.2070953056767648e-05,-4.4804894784421504e-05,0.00010204486314500869,3.721555862217695e-05,-7.81437046484342e-07,2.2162024609647825e-05
4.0,-184.43689463878272,-13.999933207654422,13.97711469681828,0.867147389130598,0.00010481854435273778,-1.2409856594517936e-05,-0.00010084082152112347,0.0001399158557804505,9.240868775821985e-05,-7.640777914824816e-07,2.668790284444945e-05
4.0,-184.16189587513838,-13.751074353194094,13.736582819044006,0.8651724031451067,0.0002002183343918609,-9.837383293631886e-06,-0.00019785254318054637,0.00018566808097474096,0.000190380951098229,-7.412379229953518e-07,3.215495786205745e-05
4.0,-183.88439712273365,-13.500093939220909,13.493991332033442,0.8632006689784653,0.0003647284508955292,1.7123530247618042e-07,-0.0003660948757937082,0.00023734360320141554,0.00036489968619800534,-7.115197848081209e-07,3.8881309181470366e-05
4.0,-183.60689837032893,-13.249166938351728,13.251439553589465,0.8612681880093352,0.0006466329315881281,2.695284707467157e-05,-0.0006555896073406484,0.0002923889685424332,0.0006735857786627997,-6.771426570974633e-07,4.73791071964169e-05
4.0,-183.3318996066846,-13.000444062402451,13.011000188431346,0.8594126383286701,0.0011194745532676245,8.798877290755759e-05,-0.001142660974216035,0.0003632689405476658,0.0012074633261751821,-6.487149631797274e-07,5.8921657197692466e-05
