frequency,angular_index,coordinate,resolution,relative_moment_error
0.1,0,-2.203819983633708,256,1.4349608607395323e-06
0.1,0,-3.58088092784126,256,1.4349675854985122e-06
0.1,0,-4.683273666818537,256,1.1537575049459838e-06
0.1,0,-5.9478964083777175,256,4.84820303840334e-07
0.1,0,-2.203819983633708,512,3.570001899820429e-07
0.1,0,-3.58088092784126,512,3.5710067361149245e-07
0.1,0,-4.683273666818537,512,2.871405199224975e-07
0.1,0,-5.9478964083777175,512,1.2116921839285747e-07
0.1,0,-2.203819983633708,1024,8.751928309581367e-08
0.1,0,-3.58088092784126,1024,8.76514714145443e-08
0.1,0,-4.683273666818537,1024,7.051268007981649e-08
0.1,0,-5.9478964083777175,1024,3.0283029431500527e-08
0.2,1,-2.203819983633708,256,9.771938926533756e-06
0.2,1,-3.58088092784126,256,9.088268603894936e-07
0.2,1,-4.683273666818537,256,5.685361735422633e-07
0.2,1,-5.9478964083777175,256,7.128152723453003e-07
0.2,1,-2.203819983633708,512,2.4453418096627944e-06
0.2,1,-3.58088092784126,512,2.2713919350729536e-07
0.2,1,-4.683273666818537,512,1.421026508883301e-07
0.2,1,-5.9478964083777175,512,1.7827004117243498e-07
0.2,1,-2.203819983633708,1024,6.123108813582594e-07
0.2,1,-3.58088092784126,1024,5.6772622362159306e-08
0.2,1,-4.683273666818537,1024,3.5519992988084295e-08
0.2,1,-5.9478964083777175,1024,4.457493120764616e-08
0.4,2,-2.203819983633708,256,1.1357841248609083e-05
0.4,2,-3.58088092784126,256,1.9321400916737774e-06
0.4,2,-4.683273666818537,256,1.3963333346017022e-06
0.4,2,-5.9478964083777175,256,7.847844489053211e-07
0.4,2,-2.203819983633708,512,2.8429037524616033e-06
0.4,2,-3.58088092784126,512,4.839262486749736e-07
0.4,2,-4.683273666818537,512,3.493919434907351e-07
0.4,2,-5.9478964083777175,512,1.9632631029065956e-07
0.4,2,-2.203819983633708,1024,7.123787362000613e-07
0.4,2,-3.58088092784126,1024,1.2149399698115508e-07
0.4,2,-4.683273666818537,1024,8.748013467503803e-08
0.4,2,-5.9478964083777175,1024,4.908715929752259e-08
