cosine,momentum,scaled_exact_reflection,asymptotic_coefficient,relative_exact_error,compact_born_scaled
0.0,1.0,0.0003456527965545477,0.00034617638446220167,0.0015124888096205158,0.00010257078058139308
0.0,3.0,0.0003461179988426771,0.00034617638446220167,0.00016865858604220296,0.0002180002887575381
0.0,10.0,0.0003461711275898654,0.00034617638446220167,1.5185531342387648e-05,0.00029904017662213725
0.0,30.0,0.0003461758002348811,0.00034617638446220167,1.6876579304048178e-06,0.0003294288907170008
0.0,100.0,0.0003461763290402727,0.00034617638446220167,1.6009737080491249e-07,0.0003410352356552936
0.4,1.0,0.0003510140944467226,0.0003515326801294209,0.001475213293134936,0.00010415783114945801
0.4,3.0,0.0003514748620918139,0.0003515326801294209,0.0001644741467157207,0.00022137334958587438
0.4,10.0,0.0003515274744401144,0.0003515326801294209,1.4808550102829443e-05,0.0003036671462083324
0.4,30.0,0.0003515321016429815,0.0003515326801294209,1.6456121210151053e-06,0.00033452605684156333
0.4,100.0,0.0003515326253763084,0.0003515326801294209,1.5575539791257142e-07,0.00034631198368635115
1.0,1.0,0.00037917968383200854,0.00037965323238232153,0.001247318631640515,0.00011248984663179897
1.0,3.0,0.00037960048548886125,0.00037965323238232153,0.000138934398449031,0.0002390819189346398
1.0,10.0,0.0003796484838219512,0.00037965323238232153,1.250762528881566e-05,0.000327958736535857
1.0,30.0,0.0003796527047033175,0.00037965323238232153,1.3898973036940987e-06,0.000361286178995517
1.0,100.0,0.00037965318220607974,0.00037965323238232153,1.3216334671106722e-07,0.0003740149108494029
