portal,witnesses,energy_negative_required,energy_negative_supplied_where_required,radial_pressure_negative_required,radial_pressure_negative_supplied_where_required,angular_pressure_negative_required,angular_pressure_negative_supplied_where_required,radial_enthalpy_negative_required,radial_enthalpy_negative_supplied_where_required,radial_enthalpy_fraction_min,radial_enthalpy_fraction_median,radial_enthalpy_fraction_max,angular_enthalpy_negative_required,angular_enthalpy_negative_supplied_where_required,angular_enthalpy_fraction_min,angular_enthalpy_fraction_median,angular_enthalpy_fraction_max
0.14,65,52,52,65,39,3,0,65,65,4.115381801781985e-09,4.670497560204727e-08,4.3716608487144854e-07,37,37,1.5668189094737428e-08,4.3618384523529363e-07,3.602482537517556e-06
1.4,65,52,52,65,39,3,0,65,65,6.633578394766381e-09,8.176601470133152e-08,8.11115482588629e-07,37,37,2.2946839851948132e-08,7.133925257664528e-07,6.210868230204739e-06
14.0,65,52,52,65,39,3,0,65,65,8.222411503684017e-09,1.0341075243917537e-07,1.1895992606342814e-06,37,37,3.125071541997903e-08,9.648171650097531e-07,8.663524824188941e-06
