portal,coordinate,radius,main_witness,higgs,energy,radial_pressure,angular_pressure,radial_enthalpy,angular_enthalpy,geometric_energy,geometric_radial_pressure,geometric_angular_pressure,geometric_radial_enthalpy,geometric_angular_enthalpy,required_remainder_energy,required_remainder_radial_pressure,required_remainder_angular_pressure,required_remainder_radial_enthalpy,required_remainder_angular_enthalpy
1.4,-0.6975413342862192,2.180000000074453,True,8.977533554916671e-139,-3.5642894753712822e-09,-3.5642894753712822e-09,5.986306322572012e-09,-7.1285789507425645e-09,2.422016847200729e-09,-8.599883617042525e-14,-8.599883617042525e-14,1.444370274238807e-13,-1.719976723408505e-13,5.843819125345546e-14,0.0083122981066529,-0.0083136469490183,6.074201783977875e-05,-1.3488423654239162e-06,0.0083730401244926
1.4,-2.503074845519225,3.1850000000124017,True,1.7299513690254519e-16,-4.379518268539261e-06,-3.385577465598266e-06,4.907612374868774e-06,-7.765095734137527e-06,5.280941063295123e-07,-1.0566859866011849e-10,-8.168688986068953e-11,1.1841040283921598e-10,-1.8735548852080803e-10,1.274180417909745e-11,-0.0115857569088165,-0.0104097671371556,0.071945761143339,-0.0219955240459722,0.0603600042345224
1.4,-3.798352402419921,4.189999999982143,True,3.3376244254481523e-14,-4.514261717135452e-06,-8.311968062838723e-07,4.0991067677324725e-06,-5.345458523419324e-06,-4.151549494029791e-07,-1.0891967572356459e-10,-2.0055037185648718e-11,9.890285674021619e-11,-1.289747129092133e-10,-1.0016818983348404e-11,-0.0014617711553235,-0.0004374464755298,0.0011135055373087,-0.0018992176308533,-0.0003482656180147
1.4,-4.891154616343261,5.195000000002431,True,2.5144553088934007e-12,-5.30725970304692e-06,8.707710147240229e-07,4.275829779229579e-06,-4.436488688322897e-06,-1.03142992381734e-06,-1.2805305541820168e-10,2.100987990864732e-11,1.0316681268944526e-10,-1.0704317550955435e-10,-2.4886242728756423e-11,-0.0002679642435957,-0.000111570651106,0.0002462336192284,-0.0003795348947018,-2.173062436732902e-05
1.4,-5.9478964083777175,6.200000000000603,True,1.9180159388367719e-10,-7.83782824627281e-06,2.1359009552962548e-06,6.2338558274562455e-06,-5.7019272909765545e-06,-1.6039724188165642e-06,-1.8911037162965936e-10,5.1534814329760193e-11,1.5040987824357778e-10,-1.3757555729989916e-10,-3.8700493386081555e-11,-0.0001446371850321,-2.497560162165552e-05,0.0001382740927548,-0.0001696127866538,-6.363092277284941e-06
