regulator,required_opening_balance,geometric_integral,signed_quantum_balance,maximum_quantum_opening_balance,fraction_of_required_balance,required_weight_amplification_at_frozen_quantum_source
4.0,2.1765897951219015,2.1765897951352584,-1.7660770120330212e-05,1.1474205294075263e-05,5.271643430374827e-06,189694.16524609242
8.0,2.1765897951219015,2.1765897951352584,-2.1712983671417942e-05,1.0184895992332175e-05,4.679290519122259e-06,213707.61142387454
