name,support,v_lane,t_accel,t_decel,v_out,l_exit,decel_start,live_end,support_exit_time,arrival_track_end,light_arrival,lead_over_light,end_to_end_speed,worst_live_norm_over_alpha2,worst_coast_norm_over_alpha2
search_0,static,1.2,0.3,0.4,0.8,1.8,0.9708333333333337,2.3708333333336307,1.3708333333333336,5.370833333333334,5.0,-0.37083333333333357,0.9452307692307692,-0.965183993463714,-0.35999552983563304
search_1,static,1.2,0.3,0.4,0.8,2.1,1.2208333333333337,2.245833333333333,1.6208333333333338,5.245833333333334,5.0,-0.24583333333333357,0.9630094043887147,-0.9631625497285132,-0.35999552983563304
search_2,static,1.2,0.3,0.4,0.8,2.4,1.4708333333333337,2.120833333333333,1.8708333333333333,5.120833333333336,5.0,-0.12083333333333623,0.9814696485623,-0.9610109413918421,-0.35999552983563304
search_3,static,1.2,0.3,0.4,0.9,1.8,0.9541666666666675,2.2430555555555567,1.3541666666667185,4.909722222222221,5.0,0.09027777777777857,1.0143077261721332,-0.9518513665358436,-0.19000001484087
search_4,static,1.2,0.3,0.4,0.9,2.1,1.2041666666666675,2.159722222222228,1.6041666666667318,4.8263888888888875,5.0,0.1736111111111125,1.0278831139861702,-0.959916648211823,-0.19000001484087
search_5,static,1.2,0.3,0.4,0.9,2.4,1.4541666666666666,2.07638888888892,1.8541666666667471,4.7430555555555545,5.0,0.25694444444444553,1.0418268143793807,-0.9584019978343332,-0.19000001484087
search_6,static,1.2,0.3,0.4,0.95,1.8,0.9458333333333342,2.1879385964912283,1.3458333333333345,4.714254385964912,5.0,0.285745614035088,1.0467343352103584,-0.9491136143826788,-0.09750005156037661
search_7,static,1.2,0.3,0.4,0.95,2.1,1.1958333333333342,2.1221491228070177,1.5958333333333352,4.648464912280701,5.0,0.35153508771929864,1.0581197200971684,-0.9457976148320253,-0.09750005156037661
search_8,static,1.2,0.3,0.4,0.95,2.4,1.4458333333333342,2.056359649122808,1.845833333333335,4.582675438596492,5.0,0.4173245614035084,1.0697555074960596,-0.9535279738740711,-0.09750005156037661
search_9,static,1.2,0.3,0.8,0.8,1.8,0.6375000000000002,2.437500000000108,1.4375000000000007,5.4375,5.0,-0.4375,0.9360146252285192,-0.9677000238438201,-0.35999552983563304
search_10,static,1.2,0.3,0.8,0.8,2.1,0.8875000000000006,2.3124999999996834,1.6875,5.3125,5.0,-0.3125,0.9534450651769087,-0.9658317857348672,-0.35999552983563304
search_11,static,1.2,0.3,0.8,0.8,2.4,1.1374999999999997,2.1875000000000004,1.9375,5.187500000000003,5.0,-0.18750000000000266,0.9715370018975329,-0.9638402825461112,-0.35999552983563304
