design,s,z,crossings,width
slope_0,1.25,-2.0994610495554724,1,0.0020009999999999195
slope_0,6.25,14.699461049555474,1,0.0020009999999999195
slope_0,6.25,14.599461049555472,1,0.0020009999999999195
slope_0,1.25,-1.999461049555472,1,0.0020009999999999195
slope_0,1.25,-2.199461049555472,1,0.0020009999999999195
slope_0,6.25,14.799461049555473,1,0.0020009999999999195
slope_0,6.0,7.875,1,0.0020009999999999195
slope_0,5.25,6.300000000000001,1,0.0020009999999999195
slope_0,5.0,5.775,1,0.0020009999999999195
slope_0,4.75,5.25,1,0.0020009999999999195
slope_0,4.5,4.725,1,0.0020009999999999195
slope_0,2.25,6.300000000000001,1,0.0020009999999999195
slope_0,5.75,7.35,1,0.0020009999999999195
slope_0,5.5,6.824999999999999,1,0.0020009999999999195
slope_0,2.0,5.775,1,0.0020009999999999195
slope_0,4.0,9.975,1,0.0020009999999999195
slope_0,3.75,9.450000000000001,1,0.0020009999999999195
slope_0,3.0,7.875,1,0.0020009999999999195
slope_0,3.75,3.150000000000001,1,0.0020009999999999195
slope_0,2.0,-0.5249999999999999,1,0.0020009999999999195
slope_0,5.75,13.65,1,0.0020009999999999195
slope_0,5.5,13.125,1,0.0020009999999999195
slope_0,5.25,12.600000000000001,1,0.0020009999999999195
slope_0,5.0,12.075000000000001,1,0.0020009999999999195
