design,s,type_iv,samples_with_type_iv,unresolved
clock_1,-3.5,0,0,0
clock_1,-3.25,0,0,0
clock_1,-3.0,0,0,0
clock_1,-2.75,0,0,0
clock_1,-2.5,0,0,0
clock_1,-2.25,0,0,0
clock_1,-2.0,0,0,0
clock_1,-1.75,0,0,0
clock_1,-1.5,0,0,0
clock_1,-1.25,0,0,0
clock_1,-1.0,0,0,0
clock_1,-0.75,0,0,0
clock_1,-0.5,0,0,0
clock_1,-0.25,0,0,0
clock_1,0.0,0,0,0
clock_1,0.25,0,0,0
clock_1,0.5,0,0,0
clock_1,0.75,0,0,0
clock_1,1.0,0,0,0
clock_1,1.25,0,0,0
clock_1,1.5,0,0,0
clock_1,1.75,0,0,0
clock_1,2.0,0,0,0
clock_1,2.25,0,0,0
clock_1,2.5,0,0,0
clock_1,2.75,0,0,0
clock_1,3.0,0,0,0
clock_1,3.25,0,0,0
clock_1,3.5,0,0,0
clock_1,3.75,0,0,0
clock_1,4.0,0,0,0
clock_1,4.25,0,0,0
clock_1,4.5,0,0,0
clock_1,4.75,0,0,0
clock_1,5.0,0,0,0
clock_1,5.25,0,0,0
clock_1,5.5,0,0,0
clock_1,5.75,0,0,0
clock_1,6.0,0,0,0
clock_1,6.25,0,0,0
clock_1,6.5,0,0,0
clock_1,6.75,0,0,0
clock_1,7.0,0,0,0
clock_1,7.25,0,0,0
clock_1,7.5,0,0,0
clock_1,7.75,0,0,0
clock_1,8.0,0,0,0
clock_1,8.25,0,0,0
clock_1,8.5,0,0,0
clock_1,8.75,0,0,0
clock_1,9.0,0,0,0
clock_1,9.25,0,0,0
clock_1,9.5,0,0,0
clock_1,9.75,0,0,0
clock_1,10.0,0,0,0
clock_0p2,-3.5,0,0,0
clock_0p2,-3.25,0,0,0
clock_0p2,-3.0,0,0,0
clock_0p2,-2.75,0,0,0
clock_0p2,-2.5,0,0,0
clock_0p2,-2.25,0,0,0
clock_0p2,-2.0,0,0,0
clock_0p2,-1.75,0,0,0
clock_0p2,-1.5,0,0,0
clock_0p2,-1.25,0,0,0
clock_0p2,-1.0,0,0,0
clock_0p2,-0.75,0,0,0
clock_0p2,-0.5,0,0,0
clock_0p2,-0.25,0,0,0
clock_0p2,0.0,0,0,0
clock_0p2,0.25,0,0,0
clock_0p2,0.5,0,0,0
clock_0p2,0.75,0,0,0
clock_0p2,1.0,0,0,0
clock_0p2,1.25,0,0,0
clock_0p2,1.5,0,0,0
clock_0p2,1.75,0,0,0
clock_0p2,2.0,0,0,0
clock_0p2,2.25,0,0,0
clock_0p2,2.5,0,0,0
clock_0p2,2.75,0,0,0
clock_0p2,3.0,0,0,0
clock_0p2,3.25,0,0,0
clock_0p2,3.5,0,0,0
clock_0p2,3.75,0,0,0
clock_0p2,4.0,0,0,0
clock_0p2,4.25,0,0,0
clock_0p2,4.5,0,0,0
clock_0p2,4.75,0,0,0
clock_0p2,5.0,0,0,0
clock_0p2,5.25,0,0,0
clock_0p2,5.5,0,0,0
clock_0p2,5.75,0,0,0
clock_0p2,6.0,0,0,0
clock_0p2,6.25,0,0,0
clock_0p2,6.5,0,0,0
clock_0p2,6.75,0,0,0
clock_0p2,7.0,0,0,0
clock_0p2,7.25,0,0,0
clock_0p2,7.5,0,0,0
clock_0p2,7.75,0,0,0
clock_0p2,8.0,0,0,0
clock_0p2,8.25,0,0,0
clock_0p2,8.5,0,0,0
clock_0p2,8.75,0,0,0
clock_0p2,9.0,0,0,0
clock_0p2,9.25,0,0,0
clock_0p2,9.5,0,0,0
clock_0p2,9.75,0,0,0
clock_0p2,10.0,0,0,0
clock_55,-3.5,0,0,0
clock_55,-3.25,0,0,0
clock_55,-3.0,0,0,0
clock_55,-2.75,0,0,0
clock_55,-2.5,0,0,0
clock_55,-2.25,0,0,0
clock_55,-2.0,0,0,0
clock_55,-1.75,0,0,0
clock_55,-1.5,0,0,0
clock_55,-1.25,0,0,0
clock_55,-1.0,0,0,0
clock_55,-0.75,0,0,0
clock_55,-0.5,0,0,0
clock_55,-0.25,0,0,0
clock_55,0.0,0,0,0
clock_55,0.25,0,0,0
clock_55,0.5,0,0,0
clock_55,0.75,0,0,0
clock_55,1.0,0,0,0
clock_55,1.25,0,0,0
clock_55,1.5,0,0,0
clock_55,1.75,0,0,0
clock_55,2.0,0,0,0
clock_55,2.25,0,0,0
clock_55,2.5,0,0,0
clock_55,2.75,0,0,0
clock_55,3.0,0,0,0
clock_55,3.25,0,0,0
clock_55,3.5,0,0,0
clock_55,3.75,0,0,0
clock_55,4.0,0,0,0
clock_55,4.25,0,0,0
clock_55,4.5,0,0,0
clock_55,4.75,0,0,0
clock_55,5.0,0,0,0
clock_55,5.25,0,0,0
clock_55,5.5,0,0,0
clock_55,5.75,0,0,0
clock_55,6.0,0,0,0
clock_55,6.25,0,0,0
clock_55,6.5,0,0,0
clock_55,6.75,0,0,0
clock_55,7.0,0,0,0
clock_55,7.25,0,0,0
clock_55,7.5,0,0,0
clock_55,7.75,0,0,0
clock_55,8.0,0,0,0
clock_55,8.25,0,0,0
clock_55,8.5,0,0,0
clock_55,8.75,0,0,0
clock_55,9.0,0,0,0
clock_55,9.25,0,0,0
clock_55,9.5,0,0,0
clock_55,9.75,0,0,0
clock_55,10.0,0,0,0
clock_0p05,-3.5,0,0,0
clock_0p05,-3.25,0,0,0
clock_0p05,-3.0,0,0,0
clock_0p05,-2.75,0,0,0
clock_0p05,-2.5,0,0,0
clock_0p05,-2.25,0,0,0
clock_0p05,-2.0,0,0,0
clock_0p05,-1.75,0,0,0
clock_0p05,-1.5,0,0,0
clock_0p05,-1.25,0,0,0
clock_0p05,-1.0,0,0,0
clock_0p05,-0.75,0,0,0
clock_0p05,-0.5,0,0,0
clock_0p05,-0.25,0,0,0
clock_0p05,0.0,0,0,0
clock_0p05,0.25,0,0,0
clock_0p05,0.5,0,0,0
clock_0p05,0.75,0,0,0
clock_0p05,1.0,0,0,0
clock_0p05,1.25,0,0,0
clock_0p05,1.5,0,0,0
clock_0p05,1.75,0,0,0
clock_0p05,2.0,0,0,0
clock_0p05,2.25,0,0,0
clock_0p05,2.5,0,0,0
clock_0p05,2.75,0,0,0
clock_0p05,3.0,0,0,0
clock_0p05,3.25,0,0,0
clock_0p05,3.5,0,0,0
clock_0p05,3.75,0,0,0
clock_0p05,4.0,0,0,0
clock_0p05,4.25,0,0,0
clock_0p05,4.5,0,0,0
clock_0p05,4.75,0,0,0
clock_0p05,5.0,0,0,0
clock_0p05,5.25,0,0,0
clock_0p05,5.5,0,0,0
clock_0p05,5.75,0,0,0
clock_0p05,6.0,0,0,0
clock_0p05,6.25,0,0,0
clock_0p05,6.5,0,0,0
clock_0p05,6.75,0,0,0
clock_0p05,7.0,0,0,0
clock_0p05,7.25,0,0,0
clock_0p05,7.5,0,0,0
clock_0p05,7.75,0,0,0
clock_0p05,8.0,0,0,0
clock_0p05,8.25,0,0,0
clock_0p05,8.5,0,0,0
clock_0p05,8.75,0,0,0
clock_0p05,9.0,0,0,0
clock_0p05,9.25,0,0,0
clock_0p05,9.5,0,0,0
clock_0p05,9.75,0,0,0
clock_0p05,10.0,0,0,0
plateau_e3,-3.5,0,0,0
plateau_e3,-3.25,0,0,0
plateau_e3,-3.0,0,0,0
plateau_e3,-2.75,0,0,0
plateau_e3,-2.5,0,0,0
plateau_e3,-2.25,0,0,0
plateau_e3,-2.0,0,0,0
plateau_e3,-1.75,0,0,0
plateau_e3,-1.5,0,0,0
plateau_e3,-1.25,0,0,0
plateau_e3,-1.0,0,0,0
plateau_e3,-0.75,0,0,0
plateau_e3,-0.5,0,0,0
plateau_e3,-0.25,0,0,0
plateau_e3,0.0,0,0,0
plateau_e3,0.25,0,0,0
plateau_e3,0.5,0,0,0
plateau_e3,0.75,0,0,0
plateau_e3,1.0,0,0,0
plateau_e3,1.25,0,0,0
plateau_e3,1.5,0,0,0
plateau_e3,1.75,0,0,0
plateau_e3,2.0,0,0,0
plateau_e3,2.25,0,0,0
plateau_e3,2.5,0,0,0
plateau_e3,2.75,0,0,0
plateau_e3,3.0,0,0,0
plateau_e3,3.25,0,0,0
plateau_e3,3.5,0,0,0
plateau_e3,3.75,0,0,0
plateau_e3,4.0,0,0,0
plateau_e3,4.25,0,0,0
plateau_e3,4.5,0,0,0
plateau_e3,4.75,0,0,0
plateau_e3,5.0,0,0,0
plateau_e3,5.25,0,0,0
plateau_e3,5.5,0,0,0
plateau_e3,5.75,0,0,0
plateau_e3,6.0,0,0,0
plateau_e3,6.25,0,0,0
plateau_e3,6.5,0,0,0
plateau_e3,6.75,0,0,0
plateau_e3,7.0,0,0,0
plateau_e3,7.25,0,0,0
plateau_e3,7.5,0,0,0
plateau_e3,7.75,0,0,0
plateau_e3,8.0,0,0,0
plateau_e3,8.25,0,0,0
plateau_e3,8.5,0,0,0
plateau_e3,8.75,0,0,0
plateau_e3,9.0,0,0,0
plateau_e3,9.25,0,0,0
plateau_e3,9.5,0,0,0
plateau_e3,9.75,0,0,0
plateau_e3,10.0,0,0,0
plateau_e2,-3.5,0,0,0
plateau_e2,-3.25,0,0,0
plateau_e2,-3.0,0,0,0
plateau_e2,-2.75,0,0,0
plateau_e2,-2.5,0,0,0
plateau_e2,-2.25,0,0,0
plateau_e2,-2.0,0,0,0
plateau_e2,-1.75,0,0,0
plateau_e2,-1.5,0,0,0
plateau_e2,-1.25,0,0,0
plateau_e2,-1.0,0,0,0
plateau_e2,-0.75,0,0,0
plateau_e2,-0.5,0,0,0
plateau_e2,-0.25,0,0,0
plateau_e2,0.0,0,0,0
plateau_e2,0.25,0,0,0
plateau_e2,0.5,0,0,0
plateau_e2,0.75,41,38,0
plateau_e2,1.0,679,58,0
plateau_e2,1.25,954,60,0
plateau_e2,1.5,1000,60,0
plateau_e2,1.75,1000,60,0
plateau_e2,2.0,1000,60,0
plateau_e2,2.25,1000,60,0
plateau_e2,2.5,1000,60,0
plateau_e2,2.75,1000,60,0
plateau_e2,3.0,1000,60,0
plateau_e2,3.25,1000,60,0
plateau_e2,3.5,1000,60,0
plateau_e2,3.75,1000,60,0
plateau_e2,4.0,1000,60,0
plateau_e2,4.25,1000,60,0
plateau_e2,4.5,1000,60,0
plateau_e2,4.75,1000,60,0
plateau_e2,5.0,1000,60,0
plateau_e2,5.25,1000,60,0
plateau_e2,5.5,1000,60,0
plateau_e2,5.75,1000,60,0
plateau_e2,6.0,1000,60,0
plateau_e2,6.25,954,60,0
plateau_e2,6.5,679,58,0
plateau_e2,6.75,41,38,0
plateau_e2,7.0,0,0,0
plateau_e2,7.25,0,0,0
plateau_e2,7.5,0,0,0
plateau_e2,7.75,0,0,0
plateau_e2,8.0,0,0,0
plateau_e2,8.25,0,0,0
plateau_e2,8.5,0,0,0
plateau_e2,8.75,0,0,0
plateau_e2,9.0,0,0,0
plateau_e2,9.25,0,0,0
plateau_e2,9.5,0,0,0
plateau_e2,9.75,0,0,0
plateau_e2,10.0,0,0,0
shift_edge_1,-3.5,0,0,0
shift_edge_1,-3.25,0,0,0
shift_edge_1,-3.0,0,0,0
shift_edge_1,-2.75,0,0,0
shift_edge_1,-2.5,0,0,0
shift_edge_1,-2.25,0,0,0
shift_edge_1,-2.0,0,0,0
shift_edge_1,-1.75,0,0,0
