label,coordinate,proper,radius,lapse,X,Y,Z,W,required_rho,required_pr,required_pt,material_rho,material_pr,material_pt,assigned_quantum_remainder_rho,assigned_quantum_remainder_pr,assigned_quantum_remainder_pt,radial_null,angular_null,active_lapse_source,formal_electric,formal_potential,formal_longitudinal
throat,-1.599758090333156e-06,-0.00021118374296260736,2.0395751057921525,69.34321529996575,0.0008032380494774358,-7.097900717614619e-14,1.7140686637162617e-05,0.24039232341612343,0.009563542625752259,-0.009564906638261055,3.264183276220582e-05,5.850001052663276e-05,-5.8498125674692564e-05,-5.850001052663276e-05,0.009505042615225626,-0.009506408512586363,9.114184328883858e-05,-1.3640125087963084e-06,0.009596184458514465,6.391965301561533e-05,0.0047984332323844315,0.004765791399622225,-6.820062543981542e-07
coordinate,-8.000000000000306,-178.1095523472104,8.177241927958148,0.8482634504918021,-0.00037317384929227114,-0.0001396573822258157,-0.0004663875981320443,0.0010628038155475594,7.940156601506589e-05,-5.340120155558665e-05,-3.896187927686975e-05,7.800992940232559e-05,-5.406249442306313e-05,-3.925511848789634e-05,1.3916366127403074e-06,6.612928674764785e-07,2.9323921102659603e-07,2.600036445947924e-05,4.0439686738196146e-05,-5.1923394094260254e-05,1.3719752254228265e-05,5.268163153109801e-05,1.300018222973962e-05
coordinate,-6.000000000000002,-176.10797092252596,6.245783235773285,0.8491300582400325,-1.3473004643917815e-05,-1.782206746927434e-07,0.002001791026574537,0.001990954352910728,-8.007991177415153e-05,-7.923173903468631e-05,7.910556923190477e-05,6.16609666299531e-05,-5.749171546355445e-05,-5.5400007989775465e-05,-0.00014174087840410462,-2.174002357113186e-05,0.00013450557722168024,-0.00015931165080883784,-9.74342542246759e-07,-1.1005123450283003e-06,3.934074143108608e-05,-3.976482780081869e-05,-7.965582540441892e-05
coordinate,-4.0000000000000115,-174.10796864226637,4.367011987004031,0.8491799789925124,0.0028733398902044266,-8.616628500116678e-05,0.018425650933068506,0.010009372607544649,-0.001068006430906987,-0.0004051171770277366,0.000844031470551751,5.9349884025701834e-05,-5.795493284237865e-05,-5.8205888879434605e-05,-0.0011273563149326888,-0.00034716224418535795,0.0009022373594311855,-0.0014731236079347236,-0.00022397496035523603,0.0002149393331687783,0.0002562934218060629,-0.000587738048745688,-0.0007365618039673618
coordinate,-3.0000000000000093,-173.1045971021554,3.534872998813947,0.8712040519316594,0.508280309284965,-0.02468945784668898,0.09573739984143304,0.038893011621697754,-0.00607103644893372,-0.0035122283921106994,0.023050738715987337,5.9398661087040114e-05,-5.769738503277901e-05,-5.889623321417056e-05,-0.00613043511002076,-0.0034545310070779205,0.023109634949201506,-0.00958326484104442,0.016979702267053615,0.03651821259093026,0.010885667343787913,-0.012165071372199424,-0.00479163242052221
coordinate,-1.9999999999988636,-171.15538376025344,2.8807354843664044,3.028228584378706,0.07294975939628195,-0.02173179862711123,0.026738493366923976,0.1192710081106188,0.002617860932001727,-0.0064750042139808395,0.0031017887554190254,5.863034768213705e-05,-5.837177420596643e-05,-5.8615770370240846e-05,0.00255923058431959,-0.006416632439774873,0.003160404525789266,-0.0038571432819791123,0.0057196496874207525,0.0023464342288589384,0.0038241106642051543,0.000722321908786129,-0.0019285716409895562
coordinate,-0.9999999999992134,-123.94263333328803,2.3130599395013007,62.98426004075999,-0.0006280110621974211,-1.478072224838948e-05,2.992434982566675e-05,0.1869028390818136,0.007434246375348146,-0.007437803891949079,-2.438522041996122e-05,5.8499758662214373e-05,-5.8498377539110944e-05,-5.8499758662214373e-05,0.007375746616685931,-0.007379305514409968,3.4114538242253155e-05,-3.5575166009325573e-06,0.007409861154928185,-5.2327957440854994e-05,0.0037058199566143255,0.0037302051770342864,-1.7787583004662787e-06
coordinate,1.3115893791524246e-13,2.857802008316204e-14,2.0395751057929266,69.34330038278658,0.0008032561845365321,2.096060879685238e-11,1.7140710795628646e-05,0.24039232341594097,0.00956354262382253,-0.009564906636580155,3.264255613133554e-05,5.8500010524320075e-05,-5.8498125677005235e-05,-5.8500010524320075e-05,0.009505042613298209,-0.009506408510903149,9.114256665565561e-05,-1.3640127576250438e-06,0.009596185179953864,6.392109950504604e-05,0.0047984335931663385,0.004765791037035004,-6.820063788125219e-07
coordinate,0.5000000000465697,35.74976646293122,2.1145354733919226,11.227243369090093,0.46974739451938724,-0.009071793006813732,0.014105310189944768,0.2233908522464034,0.007765974673844488,-0.00961034994400203,0.018890932245783122,5.853018627849569e-05,-5.846795008579605e-05,-5.853018543690322e-05,0.007707444487565993,-0.009551881993916234,0.018949462431220025,-0.0018443752701575418,0.02665690691962761,0.0359374892214087,0.013789547277353192,-0.005101384968429931,-0.0009221876350787709
coordinate,1.0000000000197873,38.64373977080269,2.311896165650238,13.487555488655742,0.37424703517448,0.01541841052847812,-0.014958734400066526,0.1864234941147533,0.008607933410291145,-0.0061905970240927555,0.014909106328390744,5.851415902550098e-05,-5.848397872335249e-05,-5.8514156288129854e-05,0.008549419251265645,-0.006132113045369403,0.014967620484678873,0.002417336386198389,0.02351703973868189,0.03223554904297988,0.011154185772791347,-0.0037549205555993965,0.0012086681930991946
