coordinate_lo,coordinate_hi,negative_null_balance,signed_opening_balance,radius_curvature_balance,clock_gradient_balance,endpoint_opening,negative_quadrature_relative_change,signed_quadrature_absolute_change,endpoint_absolute_error,conservation_scaled_error,lapse_equation_absolute_error
-40.0,-3.0,0.31528621593534967,0.17707381472864214,0.2707908116405288,-0.09371699691188674,0.17707381472596806,2.2550988854064258e-09,2.0561052860301743e-12,2.674083177112152e-12,1.6099332258434035e-16,1.1102230246251565e-16
-3.0,-2.0,0.789570189303721,0.789570189303721,0.5157076212449659,0.2738625680587552,0.7895701893037121,9.880984919163893e-15,7.771561172376096e-15,8.881784197001252e-15,2.6379446309463085e-16,4.440892098500626e-16
-2.0,-1.0,0.033295359237176594,0.033295359237176594,0.017637979207681564,0.015657380029495026,0.03329535923718176,7.512879207638434e-13,2.5014712523585558e-14,5.162537064506978e-15,2.0419214641364888e-16,2.42861286636753e-17
-1.0,1.0,0.010513996139600792,0.004520899106407734,0.005530562858517609,-0.0010096637521098736,0.004520899106422251,6.468363735745442e-07,1.9412943474961253e-13,1.451703340871191e-14,3.898322083100602e-16,2.220446049250313e-16
1.0,2.0,0.0331907300616577,0.0289287167282062,0.01528625534462098,0.013642461383585217,0.028928716728200285,2.5712765250318625e-11,3.604755383079805e-15,5.915407053080912e-15,2.722622159948853e-16,1.1102230246251565e-16
2.0,3.0,0.7895707792973706,0.7895707792973706,0.5157084921248086,0.273862287172562,0.7895707792973811,3.3306690738754696e-15,2.55351295663786e-15,1.0436096431476471e-14,2.6379449433281327e-16,4.440892098500626e-16
3.0,40.0,0.35363003250406294,0.35363003250406294,0.330683982035926,0.022946050468136935,0.35363003250527225,1.8808288260174777e-12,6.651346140529313e-13,1.2093104295729518e-12,1.6099332067374194e-16,1.1102230246251565e-16
